lineage,Kingdom,Phylum,Class,Order,Family,Genus,Species,CN18FESPkoa_SC24,CN18FESPkoa_SC26,CN18FESPkoa_SC29,CN18FESPkoa_SC30,CN18FESPkoa_SC31,CN18FESPkoa_SC32,CN18FESPkoa_SC34,CN18FESPkoa_SC35,CN18FESPkoa_SC37,CN18FESPkoa_SC40,CN18FESPkoa_SC41,CN18FESPkoa_SC43,CN18FESPkoa_SC44,CN18FESPkoa_SC46,CN18FESPkoa_SC47,CN18FESPkoa_SC49,CN18FESPkoa_SC52,CN18FESPkoa_SC53,CN18FESPkoa_SC55,CN18FESPkoa_SC56,CN18FESPkoa_SC57,CN18FESPkoa_SC58,CN18Fc12_8_eDNA,CN18Fc19_5_eDNA,CN18Fc21_6_eDNA,CN18Fc22_6_eDNA,CN18Fc24_6_eDNA,CN18Fc25_5_eDNA,CN18Fc27_4_eDNA,CN18Fc29_6_eDNA,CN18Fc30_4_eDNA,CN18Fc32_4_eDNA,CN18Fc33_5_eDNA,CN18Fc36_6_eDNA,CN18Fc38_5_eDNA,CN18Fc40_6_eDNA,CN18Fc41_6_eDNA,CN18Fc43_5_eDNA,CN18Fc44_8_eDNA,CN18Fc46_8_eDNA,CN18Fc47_6_eDNA,CN18Fc49_6_eDNA,CN18Fc51_5_eDNA,CN18SESPkoa_SC36,CN18SESPkoa_SC37,CN18SESPkoa_SC39,CN18SESPkoa_SC40,CN18SESPkoa_SC41,CN18SESPkoa_SC44,CN18SESPkoa_SC45,CN18SESPkoa_SC47,CN18SESPkoa_SC49,CN18Sc09_2_eDNA,CN18Sc10_2_eDNA,CN18Sc14_2_eDNA,CN18Sc14_8_eDNA,CN18Sc15_2_eDNA,CN18Sc15_8_eDNA,CN18Sc18_2_eDNA,CN18Sc18_8_eDNA,CN18Sc27_2_eDNA,CN18Sc27_8_eDNA
Eukaryota;Arthropoda;Malacostraca;Decapoda;Oplophoridae;Acanthephyra;Acanthephyra curtirostris,Eukaryota,Arthropoda,Malacostraca,Decapoda,Oplophoridae,Acanthephyra,Acanthephyra curtirostris,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,5,12,0,0,0,0,0,0,2,0,0,1,0,0,22,0,0,0,0
Eukaryota;Haptophyta;Haptophyta;Isochrysidales;Noelaerhabdaceae;Emiliania;Emiliania huxleyi,Eukaryota,Haptophyta,Haptophyta,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania huxleyi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,366,406,290,419,501,849,367,47,1191,320,725,268,389,290,612,763,675,249,606,967,617,4,399,9,440,434,99,535,33,198,550,122,499,26,552,8,267,14,1098
Eukaryota;Oomycota;Oomycetes;Saprolegniales;Saprolegniaceae;g_;s_,Eukaryota,Oomycota,Oomycetes,Saprolegniales,Saprolegniaceae,g_,s_,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota;Arthropoda;Malacostraca;Decapoda;unassigned;unassigned;s_,Eukaryota,Arthropoda,Malacostraca,Decapoda,unassigned,unassigned,s_,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0
Eukaryota;Chordata;Ascidiacea;Enterogona;Ascidiidae;Ascidia;Ascidia ahodori,Eukaryota,Chordata,Ascidiacea,Enterogona,Ascidiidae,Ascidia,Ascidia ahodori,0,0,0,0,0,0,3,9,3,0,6,2,8,0,3,0,2,0,0,5,1,5,0,0,0,0,0,0,2,0,0,0,0,0,60,2,0,3,12,9,0,14,1,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota;Arthropoda;Malacostraca;Decapoda;Polychelidae;g_;s_,Eukaryota,Arthropoda,Malacostraca,Decapoda,Polychelidae,g_,s_,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,18,1,0,0,0,7,5,11,6,32,36,2,15,0,8,0,11,25,2,0,0,3,6,0,4,8,12,6,0,1,7,0,1,34,1,0,1,27,0,0,2,0,0,0,3,0,1,0,0,0,0,3,0,43,6,8,69,14,39,172,6,100
Eukaryota;Haptophyta;Haptophyta;Isochrysidales;Noelaerhabdaceae;Emiliania;Emiliania huxleyi,Eukaryota,Haptophyta,Haptophyta,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania huxleyi,4238,4474,2006,3758,1560,3211,3732,2903,2622,1558,2202,3808,2620,1933,1831,1877,1855,3372,1407,2782,2283,2756,498,1097,859,1084,922,1061,2100,1036,370,1755,900,1264,635,1524,1462,1026,772,1936,642,1165,3104,322,9,305,12,302,300,29,50,63,1,39,0,363,16,441,22,313,11,416
no_hit;no_hit;no_hit;no_hit;no_hit;no_hit;no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,0,0,0,0,2,0,2,2,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota;unassigned;unassigned;unassigned;unassigned;g_;s_,Eukaryota,unassigned,unassigned,unassigned,unassigned,g_,s_,0,1,62,32,35,94,3,0,0,3,1,36,0,14,0,0,0,27,55,41,1674,0,1,15382,19,7,17053,786,18,23902,40365,128,1878,90,31387,7865,7595,29,34499,5384,2545,14725,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota;Arthropoda;Insecta;Hymenoptera;Encyrtidae;g_;s_,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,g_,s_,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota;unassigned;unassigned;unassigned;unassigned;g_;s_,Eukaryota,unassigned,unassigned,unassigned,unassigned,g_,s_,48,2,0,0,1,0,4,515,76,44,12508,0,61,15,0,12138,56,0,2,19,20,41,20,5,1,17,0,6,17059,6,4,18,1,3,6768,13037,3,29,2,9020,4,10,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Eukaryota;unassigned;unassigned;unassigned;unassigned;g_;s_,Eukaryota,unassigned,unassigned,unassigned,unassigned,g_,s_,168,84,61,70,42,50,89,26,23,23,30,67,54,13,51,13,51,86,22,75,61,61,52,42,24,27,145,10,40,23,5,30,84,29,28,70,30,86,68,116,25,75,287,21,0,7,0,87,55,0,0,0,0,0,0,0,0,35,0,0,0,10
Eukaryota;Ochrophyta;Chrysophyceae;Chromulinales;Chromulinaceae;g_;s_,Eukaryota,Ochrophyta,Chrysophyceae,Chromulinales,Chromulinaceae,g_,s_,7,13,11,39,0,14,8,14,14,4,7,5,15,7,2,1,7,7,16,19,11,8,16,8,0,4,2,3,23,8,0,2,27,18,2,7,5,9,7,4,0,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota;unassigned;unassigned;unassigned;unassigned;g_;s_,Eukaryota,unassigned,unassigned,unassigned,unassigned,g_,s_,0,9,0,0,0,0,6,0,0,0,0,0,0,0,1,0,1,0,31,41,4,1,1,6,0,6,5,13,0,8,4632,1,1,26085,193,8,7,3,17,2,30,8,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota;Arthropoda;Malacostraca;Decapoda;Polychelidae;g_;s_,Eukaryota,Arthropoda,Malacostraca,Decapoda,Polychelidae,g_,s_,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota;Arthropoda;Malacostraca;Decapoda;Polychelidae;g_;s_,Eukaryota,Arthropoda,Malacostraca,Decapoda,Polychelidae,g_,s_,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota;Haptophyta;Haptophyta;Prymnesiales;Chrysochromulinaceae;g_;s_,Eukaryota,Haptophyta,Haptophyta,Prymnesiales,Chrysochromulinaceae,g_,s_,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota;unassigned;unassigned;unassigned;unassigned;g_;s_,Eukaryota,unassigned,unassigned,unassigned,unassigned,g_,s_,26,77,178,230,164,75,210,211,85,128,115,151,183,123,165,131,75,203,95,372,404,376,95,64,182,110,103,44,108,28,25,112,213,107,62,110,173,156,159,65,34,14,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota;Arthropoda;Hexanauplia;Calanoida;Clausocalanidae;Clausocalanus;Clausocalanus parapergens,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus parapergens,0,0,0,4,0,0,0,0,1,0,0,2,0,0,0,6,0,0,0,0,4,0,0,0,1,0,12117,3,0,0,4460,0,0,1,1,374,0,1,1,0,0,3750,0,0,0,2,4,2,0,0,0,0,0,0,0,0,0,0,0,4007,6793,7
Eukaryota;Cnidaria;Hydrozoa;unassigned;unassigned;g_;s_,Eukaryota,Cnidaria,Hydrozoa,unassigned,unassigned,g_,s_,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota;Oomycota;Oomycetes;Saprolegniales;Saprolegniaceae;g_;s_,Eukaryota,Oomycota,Oomycetes,Saprolegniales,Saprolegniaceae,g_,s_,287,272,345,293,180,173,390,572,252,173,233,373,285,180,207,205,311,406,292,332,309,555,395,107,311,126,162,300,213,96,74,265,378,523,256,326,160,307,156,143,35,63,142,21,0,2,0,1,5,0,0,0,3,0,0,4,0,14,0,17,0,0
Eukaryota;Ochrophyta;Phaeophyceae;Sphacelariales;Sphacelariaceae;g_;s_,Eukaryota,Ochrophyta,Phaeophyceae,Sphacelariales,Sphacelariaceae,g_,s_,518,381,511,418,326,643,505,545,581,360,446,370,580,374,502,338,291,569,344,668,459,668,175,220,184,186,256,147,267,267,50,410,483,231,105,286,130,230,289,292,43,157,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota;Ochrophyta;Phaeophyceae;Sphacelariales;Sphacelariaceae;g_;s_,Eukaryota,Ochrophyta,Phaeophyceae,Sphacelariales,Sphacelariaceae,g_,s_,91,58,60,81,35,51,59,111,39,37,36,20,43,37,30,17,40,173,29,13,41,84,31,16,48,23,16,94,48,0,16,5,13,5,3,78,39,4,63,25,6,27,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota;Arthropoda;Malacostraca;Decapoda;Polychelidae;g_;s_,Eukaryota,Arthropoda,Malacostraca,Decapoda,Polychelidae,g_,s_,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota;unassigned;unassigned;unassigned;unassigned;g_;s_,Eukaryota,unassigned,unassigned,unassigned,unassigned,g_,s_,0,0,0,0,0,0,0,0,0,0,2,0,9,9,4,0,0,6,0,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Bathycoccaceae;g_;s_,Eukaryota,Chlorophyta,Mamiellophyceae,Mamiellales,Bathycoccaceae,g_,s_,0,2,0,0,0,3,0,0,1,0,0,0,2,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota;Ochrophyta;Phaeophyceae;Fucales;Sargassaceae;g_;s_,Eukaryota,Ochrophyta,Phaeophyceae,Fucales,Sargassaceae,g_,s_,6,3,58,145,18,6,122,0,13,0,2,1,5,1,7,2,23,8,30,85,4,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota;Arthropoda;Hexanauplia;Calanoida;Clausocalanidae;Clausocalanus;Clausocalanus furcatus,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus furcatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota;Porifera;Demospongiae;Poecilosclerida;Microcionidae;g_;s_,Eukaryota,Porifera,Demospongiae,Poecilosclerida,Microcionidae,g_,s_,65,19,44,40,42,32,62,43,58,30,46,53,50,68,46,32,15,79,36,46,46,75,29,34,60,17,19,7,50,11,4,23,143,24,21,40,23,25,24,50,12,23,58,3,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0
Eukaryota;Ochrophyta;Chrysophyceae;Chromulinales;Chromulinaceae;g_;s_,Eukaryota,Ochrophyta,Chrysophyceae,Chromulinales,Chromulinaceae,g_,s_,17,15,6,2,0,4,0,0,1,0,2,4,0,1,0,0,0,0,5,0,0,5,1,0,0,2,2,0,7,16,0,0,0,2,0,0,0,5,8,3,0,5,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota;Arthropoda;Malacostraca;Decapoda;Polychelidae;g_;s_,Eukaryota,Arthropoda,Malacostraca,Decapoda,Polychelidae,g_,s_,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota;unassigned;unassigned;unassigned;unassigned;g_;s_,Eukaryota,unassigned,unassigned,unassigned,unassigned,g_,s_,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota;Arthropoda;Malacostraca;Euphausiacea;Euphausiidae;Euphausia;Euphausia pacifica,Eukaryota,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Euphausia,Euphausia pacifica,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,1,0,4,0,2,2,0,0,0,0,6,0
Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Bathycoccaceae;Bathycoccus;Bathycoccus prasinos,Eukaryota,Chlorophyta,Mamiellophyceae,Mamiellales,Bathycoccaceae,Bathycoccus,Bathycoccus prasinos,199,92,94,100,93,72,143,109,72,38,54,49,67,41,86,27,25,69,44,61,86,53,9,45,27,36,40,24,75,51,12,67,86,41,41,63,37,46,113,93,18,99,262,91,1,23,3,110,72,2,12,1,5,15,0,37,3,26,8,49,0,22
Eukaryota;Oomycota;Oomycetes;unknown;unknown;g_;s_,Eukaryota,Oomycota,Oomycetes,unknown,unknown,g_,s_,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,26,10,4,656,733,28,123,1,1,20,0,0,1,858,73,0,0,479
Eukaryota;Arthropoda;Arachnida;Sarcoptiformes;Pyroglyphidae;Dermatophagoides;Dermatophagoides pteronyssinus,Eukaryota,Arthropoda,Arachnida,Sarcoptiformes,Pyroglyphidae,Dermatophagoides,Dermatophagoides pteronyssinus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota;Haptophyta;Haptophyta;Isochrysidales;Noelaerhabdaceae;Emiliania;Emiliania huxleyi,Eukaryota,Haptophyta,Haptophyta,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania huxleyi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota;unknown;unknown;Bicosoecida;Cafeteriaceae;Cafeteria;s_,Eukaryota,unknown,unknown,Bicosoecida,Cafeteriaceae,Cafeteria,s_,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
