lineage,Kingdom,Phylum,Class,Order,Family,Genus,Species,Lasker18Sc122_3_D0052,Lasker18Sc122_5_D0053,Lasker18Sc122_17_D0057,Lasker18Sc122_19_D0058,Lasker18Sc123_3_D0063,Lasker18Sc123_5_D0064,Lasker18Sc123_17_D0068,Lasker18Sc123_19_D0069,Lasker18Sc124_3_D0073,Lasker18Sc124_5_D0074,Lasker18Sc124_17_D0078,Lasker18Sc124_19_D0079,Lasker18Sc126_3_D0085,Lasker18Sc126_5_D0086,Lasker18Sc126_17_D0090,Lasker18Sc127_3_D0095,Lasker18Sc127_5_D0096,Lasker18Sc127_17_D0100,Lasker18Sc127_19_D0101,Lasker18Sc128_3_D0105,Lasker18Sc128_7_D0107,Lasker18Sc128_16_D0110,Lasker18Sc128_19_D0111,Lasker18Sc129_3_D0116,Lasker18Sc129_5_D0117,Lasker18Sc129_17_D0121,Lasker18Sc129_19_D0122,Lasker18Sc130_3_D0127,Lasker18Sc130_5_D0128,Lasker18Sc130_17_D0132,Lasker18Sc130_19_D0133,Lasker18Sc132_3_D0137,Lasker18Sc132_5_D0138,Lasker18Sc132_17_D0142,Lasker18Sc132_19_D0143,Lasker18Sc133_3_D0147,Lasker18Sc133_5_D0148,Lasker18Sc133_17_D0152,Lasker18Sc133_19_D0153,Lasker18Sc134_3_D0158,Lasker18Sc134_5_D0159,Lasker18Sc134_17_D0163,Lasker18Sc134_19_D0164,Lasker18Sc135_17_D0173,Lasker18Sc135_19_D0174,Lasker18Sc158_3_D0270,Lasker18Sc158_5_D0271,Lasker18Sc158_17_D0275,Lasker18Sc158_19_D0276
unassigned;unassigned;unassigned;unassigned;unassigned;unassigned;unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,3647,6747,10464,9959,274,665,1168,673,346,828,905,606,61,94,1943,49,327,2495,627,152,87,6041,4030,40,16,3123,1804,1322,1186,10505,5731,604,478,14517,7430,727,216,2091,1259,1257,1815,7330,4127,1117,486,743,559,593,605
Eukaryota;Haptista;Haptophyta;Isochrysidales;Noelaerhabdaceae;Emiliania;Emiliania huxleyi,Eukaryota,Haptista,Haptophyta,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania huxleyi,1032,1461,753,886,984,1770,2764,1387,276,885,433,372,617,285,1171,381,1024,3245,1052,221,543,2765,2149,103,166,5828,3095,379,283,825,631,276,65,512,317,84,152,140,164,217,252,329,147,236,146,217,146,290,301
Eukaryota;Arthropoda;Hexanauplia;Poecilostomatoida;Oncaeidae;g_;s_,Eukaryota,Arthropoda,Hexanauplia,Poecilostomatoida,Oncaeidae,g_,s_,2347,3,2206,0,1630,2233,1,3117,5,8,0,2,1631,4614,1,10233,7555,0,0,2,5642,1,3,7499,20748,6319,0,2144,6659,1,0,1925,2116,3,1,1722,10384,0,80,3062,2,0,0,2,0,22,4709,1,1
unassigned;unassigned;unassigned;unassigned;unassigned;unassigned;unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,3682,5423,4859,3678,502,1038,3170,1522,322,804,3407,3071,218,110,1713,94,285,2081,584,194,225,5372,3789,51,47,3263,2087,397,771,2165,1305,191,56,1641,803,109,116,147,56,154,348,663,335,110,87,175,194,161,103
unassigned;unassigned;unassigned;unassigned;unassigned;unassigned;unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,1340,2104,1875,1365,1785,3468,9147,6836,124,603,443,285,388,230,1015,159,718,2124,390,19,112,2656,1593,63,63,1603,798,1143,1481,4771,1944,480,325,4558,2894,638,444,523,207,473,960,2000,944,895,158,540,494,625,409
Eukaryota;Picozoa;unknown;unknown;unknown;g_;s_,Eukaryota,Picozoa,unknown,unknown,unknown,g_,s_,0,54,467,358,36,137,164,101,0,2,860,1240,2,2,80,0,2,92,45,0,2,636,494,180,281,446,452,138,417,4338,1654,192,77,5303,2795,350,408,3666,3370,2322,5073,3424,2685,5331,5735,576,1978,4019,3061
Eukaryota;unassigned;unassigned;unassigned;unassigned;g_;s_,Eukaryota,unassigned,unassigned,unassigned,unassigned,g_,s_,0,0,2371,6358,0,0,1128,133,0,2,0,0,0,0,3918,0,0,2,1,0,3,0,1649,1,7363,63,0,0,0,0,4571,0,0,0,0,0,0,1,0,49,0,0,0,0,638,0,0,0,1170
Eukaryota;unassigned;unassigned;unassigned;unassigned;g_;s_,Eukaryota,unassigned,unassigned,unassigned,unassigned,g_,s_,0,0,6355,0,0,4,16931,10329,0,0,0,0,0,7,4717,0,0,13875,4089,0,0,0,11,0,0,8354,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,1,0,0,260,0,0,0,3
Eukaryota;unknown;Phaeophyceae;Fucales;Sargassaceae;g_;s_,Eukaryota,unknown,Phaeophyceae,Fucales,Sargassaceae,g_,s_,96,193,3650,4316,1,150,111,26,9,1,1190,1038,17,38,357,7,0,233,957,0,35,1266,765,77,238,2488,2412,107,199,430,97,55,74,72,74,25,27,8,9,441,658,126,26,102,5,238,68,23,33
Eukaryota;Arthropoda;Malacostraca;Decapoda;Oplophoridae;Acanthephyra;Acanthephyra curtirostris,Eukaryota,Arthropoda,Malacostraca,Decapoda,Oplophoridae,Acanthephyra,Acanthephyra curtirostris,2,0,0,0,0,0,0,6,3,0,0,0,0,0,2,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,4,3
Eukaryota;Haptista;Haptophyta;Phaeocystales;Phaeocystaceae;Phaeocystis;Phaeocystis globosa,Eukaryota,Haptista,Haptophyta,Phaeocystales,Phaeocystaceae,Phaeocystis,Phaeocystis globosa,771,1082,1164,924,1721,3325,938,372,29,72,2,0,181,98,51,116,305,59,32,2,7,53,24,739,1149,172,136,1572,1698,187,149,417,716,985,862,807,702,2241,1587,3277,5254,2013,1430,156,197,700,1240,1004,575
Eukaryota;Haptista;Haptophyta;Phaeocystales;Phaeocystaceae;Phaeocystis;Phaeocystis globosa,Eukaryota,Haptista,Haptophyta,Phaeocystales,Phaeocystaceae,Phaeocystis,Phaeocystis globosa,4985,8914,450,222,8044,15090,2970,1228,97,241,0,0,776,538,89,608,987,67,92,14,26,41,15,3420,6149,301,240,184,281,55,16,100,161,2042,1581,973,614,7134,4849,4714,6780,5696,6416,46,74,148,408,683,569
Eukaryota;unassigned;unassigned;unassigned;unassigned;g_;s_,Eukaryota,unassigned,unassigned,unassigned,unassigned,g_,s_,20,20,4,3,25,33,1,5,54,204,51,19,66,49,51,131,310,37,38,20,64,65,28,17,40,309,1266,37,22,847,757,12,38,68,35,16,40,6,153,327,262,85,10,120,43,263,1204,235,131
Eukaryota;unknown;Phaeophyceae;Sphacelariales;Sphacelariaceae;g_;s_,Eukaryota,unknown,Phaeophyceae,Sphacelariales,Sphacelariaceae,g_,s_,655,1535,6,27,56,296,3,0,385,854,0,0,540,686,0,470,1484,0,0,375,809,4,0,84,182,0,3,378,660,0,1,525,358,7,3,597,632,3,0,424,329,2,1,0,0,238,145,2,0
Eukaryota;Arthropoda;unassigned;unassigned;unassigned;g_;s_,Eukaryota,Arthropoda,unassigned,unassigned,unassigned,g_,s_,2,0,0,1,258,1,0,2,1,3,0,0,1,0,0,0,0,0,0,6,1,0,0,0,1,0,0,1226,790,0,0,15,1984,0,1,47,1313,0,1,0,0,0,1,0,0,4,0,0,0
Eukaryota;Rotifera;Monogononta;Ploima;Synchaetidae;g_;s_,Eukaryota,Rotifera,Monogononta,Ploima,Synchaetidae,g_,s_,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,232,0,0,0,8,0,0,0,0,0,0,0,3,63,442,0,0,0,929
Eukaryota;Arthropoda;Hexanauplia;Calanoida;Clausocalanidae;Clausocalanus;Clausocalanus parapergens,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus parapergens,0,1,4,0,0,0,0,1,0,0,0,0,1,0,0,29,0,5162,1269,3,13127,5,0,0,0,0,5251,0,0,0,1,0,0,0,0,102,0,0,0,207,0,0,0,28,0,0,0,0,0
Eukaryota;Picozoa;unknown;unknown;unknown;g_;s_,Eukaryota,Picozoa,unknown,unknown,unknown,g_,s_,578,1086,87,76,1693,3944,62,50,356,990,75,117,1361,660,33,750,1724,25,30,114,323,356,233,933,1584,156,144,1490,2043,44,37,1060,862,26,16,1521,1616,85,50,451,607,10,0,10,24,1758,1323,108,73
Eukaryota;Arthropoda;Hexanauplia;Calanoida;Clausocalanidae;Clausocalanus;Clausocalanus furcatus,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus furcatus,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Sphaeronectidae;Sphaeronectes;Sphaeronectes gracilis,Eukaryota,Cnidaria,Hydrozoa,Siphonophorae,Sphaeronectidae,Sphaeronectes,Sphaeronectes gracilis,23,3,347,30,0,0,0,7,0,9,9,21,0,4,0,5,1,0,3,1,0,0,5,7,9,192,0,0,0,1,0,0,11,3,0,0,0,0,0,0,0,0,0,65,0,0,0,0,1
