lineage,Kingdom,Phylum,Class,Order,Family,Genus,Species,CN19_Nisk_SM_Night_100m_1,CN19_Nisk_SM_Day_5m_1,CN19_Nisk_SM_Day_5m_2,CN19_Nisk_SM_Day_10m_1,CN19_Nisk_SM_Day_10m_2,CN19_Nisk_SM_Day_100m_1,CN19_Nisk_SM_Day_100m_2,CN19_Nisk_SM_Day_100m_3,CN19_Nisk_SM_Dusk_5m_2,CN19_Nisk_SM_Dusk_50m_2,CN19_Nisk_SM_Dusk_100m_1,CN19_Nisk_SM_Dusk_100m_2,CN19_Nisk_SM_Dusk_100m_3,CN19_Nisk_SM_Night_5m_1,CN19_Nisk_SM_Night_5m_2,CN19_Nisk_SM_Night_23m_1,CN19_Nisk_SM_Night_23m_2,CN19_Nisk_SM_Night_100m_2,CN19_Nisk_SM_Night_100m_3,CN19_Buck4_SM_Night_0m_1,CN19_Buck4_SM_Night_0m_2,CN19_Nisk_SM_Dawn_11m_1,CN19_Nisk_PB_Day_100m_3,CN19_Nisk_PB_Dusk_70m_3,CN19_Nisk_PB_Night_5m_1,CN19_Nisk_PB_Night_15m_1,CN19_Buck3_SN_0m_2,CN19_Nisk_SM_Dawn_5m_1,CN19_Nisk_SM_Dawn_11m_2,CN19_Nisk_SM_Dawn_100m_1,CN19_Nisk_SM_Dawn_100m_2,CN19_Nisk_SM_Dawn_100m_3,CN19_Nisk_PB_Day_5m_1,CN19_Nisk_PB_Day_5m_2,CN19_Nisk_PB_Day_28m_1,CN19_Nisk_PB_Day_28m_2,CN19_Nisk_PB_Day_100m_1,CN19_Nisk_PB_Day_100m_2,CN19_Nisk_PB_Dusk_5m_1,CN19_Nisk_PB_Dusk_5m_2,CN19_Nisk_PB_Dusk_10m_1,CN19_Nisk_PB_Dusk_10m_2,CN19_Nisk_PB_Dusk_70m_1,CN19_Nisk_PB_Dusk_70m_2,CN19_Nisk_PB_Night_15m_2,CN19_Nisk_PB_Night_100m_2,CN19_Buck5_0m_1,CN19_Nisk_PB_Dawn_5m_1,CN19_Nisk_PB_Dawn_45m_1,CN19_Nisk_PB_Dawn_45m_2,CN19_Nisk_PB_Dawn_100m_2,CN19_Nisk_MO_Night_7m_1,CN19_Nisk_MO_Night_100m_1,CN19_Nisk_MO_Night_100m_3,CN19_Nisk_MO_Dawn_5m_2,CN19_Nisk_MO_Dawn_26m_2,CN19_Nisk_MO_Dawn_100m_2,CN19_Nisk_MO_Dawn_100m_3,CN19_Nisk_PS_Dusk_75m_2,CN19_Nisk_PS_Dusk_10m_2,CN19_Nisk_PS_Dawn_10m_2,CN19_Nisk_PS_Dawn_100m_2,CN19_Nisk_PS_Dawn_100m_3,CN19_Buck1_SN_0m_1,CN19_Buck1_SN_0m_2,CN19_Buck2_SN_0m_1,CN19_Nisk_SM_Dusk_5m_1,CN19_Nisk_PB_Night_5m_2,CN19_Nisk_PB_Night_100m_3,CN19_Buck5_0m_2,CN19_Nisk_PB_Dawn_5m_2,CN19_Nisk_PB_Dawn_100m_1,CN19_Nisk_PB_Dawn_100m_3,CN19_Nisk_MO_Night_5m_1,CN19_Nisk_MO_Dawn_100m_1,CN19_Nisk_Far_5m_1,CN19_Nisk_Far_5m_2,CN19_Nisk_PS_Dusk_75m_1,CN19_Nisk_PS_Dusk_75m_3,CN19_Nisk_PS_Dusk_10m_1,CN19_Nisk_PS_Dusk_5m_1,CN19_Nisk_PS_Dusk_5m_2,CN19_Nisk_PS_Dawn_5m_1,CN19_Nisk_PS_Dawn_10m_1,CN19_Nisk_PS_Dawn_100m_1,CN19_Buck2_SN_0m_2,CN19_Nisk_SM_Dusk_50m_1,CN19_Nisk_MO_Dawn_5m_1,CN19_Nisk_Dav_Dawn_27m_2,CN19_Nisk_Dav_Dusk_5m_1,CN19_Nisk_Dav_Dusk_5m_2,CN19_Nisk_Dav_Dusk_13m_1,CN19_Nisk_Dav_Dusk_13m_3,CN19_Nisk_Dav_Dusk_70m_1,CN19_Nisk_Dav_Dusk_70m_2,CN19_Nisk_Dav_Dusk_70m_3,CN19_Buck6_Dav_Night_0m_1,CN19_Buck6_Dav_Night_0m_2,CN19_Nisk_Dav_Predusk_12m_1,CN19_Nisk_MO_Night_5m_2,CN19_Nisk_MO_Night_100m_2,CN19_Nisk_MO_Dawn_26m_1,CN19_Nisk_Dav_Dawn_5m_1,CN19_Nisk_Dav_Dawn_5m_2,CN19_Nisk_Dav_Dawn_27m_1,CN19_Nisk_Dav_Dawn_100m_1,CN19_Nisk_Dav_Dawn_100m_2,CN19_Nisk_Dav_Dawn_100m_3,CN19_Nisk_Far_13m_1,CN19_Nisk_Far_13m_2,CN19_Nisk_Far_60m_1,CN19_Nisk_Far_60m_2,CN19_Nisk_Far_60m_3
Eukaryota;Arthropoda;Hexanauplia;Calanoida;Calanidae;unassigned;unassigned,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,unassigned,unassigned,43,15045,19333,17526,7371,77,33,73,42162,3101,330,279,165,153,7363,1726,10708,184,155,42026,36285,21711,394,1761,7414,17787,28617,574,10846,84,380,5439,15716,17867,276,532,542,223,1559,7107,7049,358,238,127,16462,71,86,110,145,8440,123,30494,92,199,67,128,86,65,159,4664,7349,367,140,26157,11358,1509,34900,10934,185,188,75,107,1934,5818,162,8262,2440,133,97,69,53,4709,14234,3650,104,27824,362,243,74264,182,146,10177,25450,48832,125,173,18244,268,169,13186,128,91,33754,20993,116,112,80,124,138,3981,141,39,115
Eukaryota;Arthropoda;Hexanauplia;Calanoida;Paracalanidae;Paracalanus;unassigned,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Paracalanidae,Paracalanus,unassigned,2,6277,5702,76,76,5,1,5,5706,25774,17,15,27,9791,4278,7006,1555,9,16,11797,14790,8797,236,17439,7665,8771,8366,7264,11313,510,212,3261,15969,9819,11745,14548,3112,331,5331,5120,7268,5150,3312,8672,9199,9,50,13378,2194,16177,33,3954,152,4523,10236,4828,15,15,47,7720,5841,198,354,4834,6400,11348,1711,8782,91,4280,11817,81,52,11820,142,4075,5451,24,18,5014,6657,2460,9520,9303,506,11923,31092,26342,7394,3282,7242,6673,15700,36,29,1148,11431,26383,4378,12594,31,4149,7377,12004,572,950,1976,846,11370,9071,242,18,10
Eukaryota;Arthropoda;Hexanauplia;Calanoida;Metridinidae;Metridia;unassigned,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Metridinidae,Metridia,unassigned,3,1,0,2504,2723,37,5,5,4,1,3042,1250,4,2,0,0,6,4,6,3,1,20,11,5095,7,162,5,1,13,3,3,15,13,7,9,5,23060,14795,6,3872,65,49,5,2,1159,7,4,12,13971,4,12,3,0,1,9,4,112,9,429,1220,6,534,129,0,5,16,0,5686,152,3,0,2,10,0,4567,6,5,221,25816,10,8,55,0,0,137,0,0,0,0,0,2,3,1047,1,4,2,0,1,14642,1,1,2,0,1,1,9,3,0,0,0,0,0,2
Eukaryota;unknown;Dinophyceae;Thoracosphaerales;Thoracosphaeraceae;Ensiculifera;Ensiculifera imariensis,Eukaryota,unknown,Dinophyceae,Thoracosphaerales,Thoracosphaeraceae,Ensiculifera,Ensiculifera imariensis,1483,11153,6124,1337,1235,625,349,252,1426,1925,1672,996,1963,1434,1333,577,1091,2071,1949,1620,1275,3064,340,781,1066,4152,325,2830,2100,1172,725,1455,250,197,327,327,289,261,1861,2339,2350,2042,668,795,2686,235,460,283,304,377,179,687,993,569,485,264,503,469,385,3100,350,325,367,4931,2187,1341,1137,1018,274,476,267,245,238,1298,578,1096,1086,455,224,2648,2225,1588,749,774,643,1299,3378,1377,205,2796,2359,1249,1204,185,549,942,4037,3543,717,643,673,269,601,430,808,1343,956,1258,1353,1684,3384,4395,6655
Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;unassigned;unassigned;unassigned,Eukaryota,Cnidaria,Hydrozoa,Siphonophorae,unassigned,unassigned,unassigned,613,5,6,3,24,87,128,108,2,42,1705,1912,1423,3,7,2,19,515,445,68,76,3999,19,452,1,4,19,0,1,163,114,9,11,19,26,36,41,34,6,9,6,3,9,15,4,38,18420,55,36,66,80,9,778,433,17,15,145,106,105,2,17,65,166,5,6,6,4,5,63,11720,84,78,59,2,170,0,0,173,61,7,0,6,13,15,178,7,97,58,12,9,6,3,6,23,53,84,9,2,10,4,493,12,2,5,19,146,103,4,3,1,15,24,21
Eukaryota;unknown;Dinophyceae;unassigned;unassigned;unassigned;unassigned,Eukaryota,unknown,Dinophyceae,unassigned,unassigned,unassigned,unassigned,5218,1476,2749,815,2313,1198,1430,702,3200,7562,5014,6885,5347,1904,2025,1005,2152,5917,6132,2409,2058,4936,571,281,1648,1425,1070,11164,4982,1592,1484,5530,601,687,418,272,500,505,2791,4239,5017,3898,254,530,1902,347,723,506,350,246,320,1356,1363,1545,191,420,1625,1462,485,1473,596,996,1384,1528,883,2504,2656,1619,336,625,844,291,421,727,1074,2524,2439,442,418,2459,2337,1389,875,974,987,1669,10907,386,112,2166,2052,1203,653,162,311,512,4528,5143,313,663,1151,362,416,154,911,998,1292,186,1468,1555,1716,1886,2563
Eukaryota;Chlorophyta;unassigned;unassigned;unassigned;unassigned;unassigned,Eukaryota,Chlorophyta,unassigned,unassigned,unassigned,unassigned,unassigned,169,94,190,165,384,12,11,14,217,226,9,1,7,2531,2427,710,1664,119,170,150,235,86,6,555,160,119,1382,419,171,17,19,266,4367,6107,860,1778,13,19,128,123,212,153,694,639,77,359,2319,5058,2954,4277,24,42,1,8,2110,3981,4,10,328,1065,389,33,52,1466,2742,3139,156,147,618,2975,8399,47,26,90,5,134,136,371,176,803,469,372,271,386,102,2255,277,2493,4,47,42,18,1,8,4,9,44,28,981,67,0,3180,2007,2272,1808,9,10,102,73,50,4,7,5
Eukaryota;Haptista;Haptophyta;Phaeocystales;Phaeocystaceae;Phaeocystis;unassigned,Eukaryota,Haptista,Haptophyta,Phaeocystales,Phaeocystaceae,Phaeocystis,unassigned,384,293,936,551,2121,61,72,72,42,538,84,98,86,22,80,19,62,506,420,302,321,77,3547,2288,1314,593,78,302,116,220,143,264,122,194,1884,3422,2660,3818,624,653,1057,912,3403,2691,595,915,151,183,317,487,2,178,860,623,75,683,46,24,647,389,2652,400,472,54,91,60,73,1087,1325,158,338,4,4,181,40,393,407,756,294,650,506,289,1514,3070,677,52,722,112,57,96,69,107,47,3488,7151,13742,167,107,510,149,525,664,1109,800,940,36,41,1,372,347,163,231,310
Eukaryota;unknown;Dinophyceae;unassigned;unassigned;unassigned;unassigned,Eukaryota,unknown,Dinophyceae,unassigned,unassigned,unassigned,unassigned,510,119,144,73,125,279,379,336,329,386,483,447,651,299,285,277,515,448,501,107,115,173,485,504,162,105,461,392,153,1454,1132,321,234,242,184,342,502,755,191,212,350,297,804,544,136,681,359,175,401,276,499,259,641,625,197,402,714,627,676,118,248,916,966,587,475,681,344,126,759,370,380,551,566,284,619,314,339,759,539,202,219,101,196,268,1543,669,600,217,71,482,411,291,99,593,1650,2944,422,414,496,284,605,350,408,217,994,607,675,101,282,338,2024,2276,3428
Eukaryota;unknown;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Cochlodinium;unassigned,Eukaryota,unknown,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Cochlodinium,unassigned,0,2128,2181,674,716,9,0,1,815,22,2,1,1,185,422,832,2186,23,5,2795,2297,79,5,178,2076,1871,275,259,191,2,5,92,8,5,146,112,10,3,752,786,1283,1183,121,218,1571,83,7,14,8,36,6,14116,142,55,586,42,4,1,32,161,1816,150,90,314,215,405,736,1409,2,2,36,1,2,13816,65,8677,8940,5,1,187,224,49,1607,3169,164,519,42,1349,177,57095,41715,22932,14990,120,72,152,6299,8762,103,11119,129,108,1514,1067,2,11,69,642,11089,13074,179,114,13
