lineage,Kingdom,Phylum,Class,Order,Family,Genus,Species,CN18FESPkoa_SC24,CN18FESPkoa_SC26,CN18FESPkoa_SC29,CN18FESPkoa_SC30,CN18FESPkoa_SC31,CN18FESPkoa_SC32,CN18FESPkoa_SC34,CN18FESPkoa_SC35,CN18FESPkoa_SC37,CN18FESPkoa_SC40,CN18FESPkoa_SC41,CN18FESPkoa_SC43,CN18FESPkoa_SC44,CN18FESPkoa_SC46,CN18FESPkoa_SC47,CN18FESPkoa_SC49,CN18FESPkoa_SC52,CN18FESPkoa_SC53,CN18FESPkoa_SC55,CN18FESPkoa_SC56,CN18FESPkoa_SC57,CN18FESPkoa_SC58,CN18Fc12_8_eDNA,CN18Fc19_5_eDNA,CN18Fc21_6_eDNA,CN18Fc22_6_eDNA,CN18Fc24_6_eDNA,CN18Fc25_5_eDNA,CN18Fc27_4_eDNA,CN18Fc29_6_eDNA,CN18Fc30_4_eDNA,CN18Fc32_4_eDNA,CN18Fc33_5_eDNA,CN18Fc36_6_eDNA,CN18Fc38_5_eDNA,CN18Fc40_6_eDNA,CN18Fc41_6_eDNA,CN18Fc43_5_eDNA,CN18Fc44_8_eDNA,CN18Fc46_8_eDNA,CN18Fc47_6_eDNA,CN18Fc49_6_eDNA,CN18Fc51_5_eDNA,CN18SESPkoa_SC36,CN18SESPkoa_SC37,CN18SESPkoa_SC39,CN18SESPkoa_SC40,CN18SESPkoa_SC41,CN18SESPkoa_SC44,CN18SESPkoa_SC45,CN18SESPkoa_SC47,CN18SESPkoa_SC49,CN18Sc09_2_eDNA,CN18Sc10_2_eDNA,CN18Sc14_2_eDNA,CN18Sc14_8_eDNA,CN18Sc15_2_eDNA,CN18Sc15_8_eDNA,CN18Sc18_2_eDNA,CN18Sc18_8_eDNA,CN18Sc27_2_eDNA,CN18Sc27_8_eDNA
Eukaryota;Ctenophora;Tentaculata;Cydippida;Pleurobrachiidae;Pleurobrachia;unassigned,Eukaryota,Ctenophora,Tentaculata,Cydippida,Pleurobrachiidae,Pleurobrachia,unassigned,31,7,5,587,1,4,3,1,5,0,1,0,2,3,4,1,3,5,4,19,17,2,1,0,3,0,0,3,0,1,7,2,0,0,0,1,2,0,0,12,0,5,8,7,2,3,2,1,1,2,5,4,7,0,8,9,4,6,7,0,3,2
Eukaryota;Cnidaria;Hydrozoa;Leptothecata;Mitrocomidae;Halopsis;s_,Eukaryota,Cnidaria,Hydrozoa,Leptothecata,Mitrocomidae,Halopsis,s_,3,0,2,0,0,1,0,0,0,0,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,2,0,0,0,2,2,1,1,1,3,1,0,2,1,0,2,0,0,1
Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;unassigned;unassigned;unassigned,Eukaryota,Cnidaria,Hydrozoa,Siphonophorae,unassigned,unassigned,unassigned,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,2,0,23,6,5,0,0,3,1,0,0,1,0,0,0,0,11,0,0,0,0,1,86,2,51,2,2,12,24,13,17,12,52,2,9,0,110,2,418,0
Eukaryota;Arthropoda;Hexanauplia;Calanoida;Metridinidae;Metridia;unassigned,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Metridinidae,Metridia,unassigned,4,0,0,2,4,275,3,9,4,0,9,8,30,3035,2,53,9,5,2,2,3,5,7,13521,3,2215,23301,16490,9,5,19,3199,6,1538,3,461,10,4,4,3,1506,1776,2751,4,0,1,1,0,2,0,1,3,5,1,4,1,3,2091,2,1268,2,1
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira;unassigned,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,unassigned,1220,115,124,93,109,86,123,83,165,106,190,171,69,147,46,80,117,114,71,54,180,98,11,13,31,40,23,34,37,19,42,15,14,13,11,99,67,22,24,60,12,185,517,3001,15,2707,32,610,1833,46,64,20,67,42,109,90,13,3817,26,141,19,452
Eukaryota;Dinoflagellata;Dinophyceae;Thoracosphaerales;Thoracosphaeraceae;Ensiculifera;Ensiculifera imariensis,Eukaryota,Dinoflagellata,Dinophyceae,Thoracosphaerales,Thoracosphaeraceae,Ensiculifera,Ensiculifera imariensis,393,21,258,132,139,125,208,203,464,185,244,201,235,260,129,112,145,469,350,214,226,361,162,185,264,235,173,135,151,233,257,92,134,135,110,203,226,199,164,94,33,58,106,513,26,487,62,458,865,58,111,108,314,229,320,372,161,742,297,100,259,305
Eukaryota;Dinoflagellata;Dinophyceae;unknown;unknown;unknown;Dinophyceae sp. CCMP1878,Eukaryota,Dinoflagellata,Dinophyceae,unknown,unknown,unknown,Dinophyceae sp. CCMP1878,269,54,118,130,496,661,287,371,459,291,365,461,417,841,186,234,320,428,1154,507,564,532,489,289,489,607,454,509,407,623,441,241,499,316,412,415,448,668,220,155,115,192,249,157,153,91,616,282,460,633,741,516,1411,1373,1283,684,1278,129,902,97,1248,32
Eukaryota;Dinoflagellata;Dinophyceae;unassigned;unassigned;unassigned;unassigned,Eukaryota,Dinoflagellata,Dinophyceae,unassigned,unassigned,unassigned,unassigned,9712,932,2657,1360,1460,1005,1514,1194,2639,1508,2915,3986,2589,3140,1556,2510,2507,4208,2591,3393,3675,5511,2895,1787,3277,3606,2207,2229,3366,4315,3169,1246,2061,1231,1346,2042,2644,1997,1513,2532,501,3792,6430,1478,51,788,142,694,742,169,312,170,402,330,361,874,331,883,637,480,384,212
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Skeletonemataceae;Skeletonema;unassigned,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemataceae,Skeletonema,unassigned,10,1,6,5,6,6,7,10,19,13,6,22,18,18,15,14,17,24,11,20,18,25,0,0,1,0,0,3,0,6,0,1,1,0,0,0,0,0,0,0,0,1,2,6090,14,2949,35,488,1782,84,61,24,15,6,38,60,9,1008,15,40,5,52
Eukaryota;Arthropoda;Hexanauplia;Calanoida;Paracalanidae;Paracalanus;unassigned,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Paracalanidae,Paracalanus,unassigned,78,68,2,4,5,4,1,1,3,54,10,193,6,1,1,2,3,0,8,0,5,5,70,4,6,5,675,4,11,4,942,298,17,23758,826,5,1282,6,214,5868,9713,9228,1297,3,0,14,0,7,10,0,0,0,2,0,4,0,1,2666,0,1,1,984
