lineage,Kingdom,Phylum,Class,Order,Family,Genus,Species,Lasker18Sc122_3_D0052,Lasker18Sc122_5_D0053,Lasker18Sc122_17_D0057,Lasker18Sc122_19_D0058,Lasker18Sc123_3_D0063,Lasker18Sc123_5_D0064,Lasker18Sc123_17_D0068,Lasker18Sc123_19_D0069,Lasker18Sc124_3_D0073,Lasker18Sc124_5_D0074,Lasker18Sc124_17_D0078,Lasker18Sc124_19_D0079,Lasker18Sc126_3_D0085,Lasker18Sc126_5_D0086,Lasker18Sc126_17_D0090,Lasker18Sc127_3_D0095,Lasker18Sc127_5_D0096,Lasker18Sc127_17_D0100,Lasker18Sc127_19_D0101,Lasker18Sc128_3_D0105,Lasker18Sc128_7_D0107,Lasker18Sc128_16_D0110,Lasker18Sc128_19_D0111,Lasker18Sc129_3_D0116,Lasker18Sc129_5_D0117,Lasker18Sc129_17_D0121,Lasker18Sc129_19_D0122,Lasker18Sc130_3_D0127,Lasker18Sc130_5_D0128,Lasker18Sc130_17_D0132,Lasker18Sc130_19_D0133,Lasker18Sc132_3_D0137,Lasker18Sc132_5_D0138,Lasker18Sc132_17_D0142,Lasker18Sc132_19_D0143,Lasker18Sc133_3_D0147,Lasker18Sc133_5_D0148,Lasker18Sc133_17_D0152,Lasker18Sc133_19_D0153,Lasker18Sc134_3_D0158,Lasker18Sc134_5_D0159,Lasker18Sc134_17_D0163,Lasker18Sc134_19_D0164,Lasker18Sc135_17_D0173,Lasker18Sc135_19_D0174,Lasker18Sc158_3_D0270,Lasker18Sc158_5_D0271,Lasker18Sc158_17_D0275,Lasker18Sc158_19_D0276
Eukaryota;Arthropoda;Hexanauplia;Calanoida;Paracalanidae;Paracalanus;unassigned,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Paracalanidae,Paracalanus,unassigned,86,37,264,5373,207,89,3091,5536,151,48,15490,5706,167,156,24351,139,52,5779,19957,104,109,7581,36378,324,82,18004,20831,66,65,9458,7164,68,46,15113,4854,73,202,4544,4519,161,86,274,2574,10220,8797,154,98,2114,5538
Eukaryota;Arthropoda;Hexanauplia;Calanoida;Calanidae;unassigned;unassigned,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,unassigned,unassigned,9,10,22,47,55,56,33942,66375,69,27,28,6095,20,50,3386,19,13,17065,10869,19,31,68,69,37106,67,45,47,39,31,19984,26088,60,30,18,8325,42,55,66,21465,32,23,7409,33,40437,12265,14,10,9617,56
Eukaryota;Chordata;Actinopteri;unassigned;unassigned;unassigned;unassigned,Eukaryota,Chordata,Actinopteri,unassigned,unassigned,unassigned,unassigned,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,28,16,0,0
Eukaryota;unknown;Dinophyceae;Thoracosphaerales;Thoracosphaeraceae;Ensiculifera;Ensiculifera imariensis,Eukaryota,unknown,Dinophyceae,Thoracosphaerales,Thoracosphaeraceae,Ensiculifera,Ensiculifera imariensis,1505,1333,805,736,1110,889,4023,9818,454,476,1772,1743,583,557,2206,750,1165,3004,4435,410,484,1040,1807,664,746,2062,2541,1095,1460,3301,5158,1326,835,19574,14592,1200,1186,8506,13893,900,1198,9694,13547,11337,7993,852,1402,12076,6361
Eukaryota;unknown;Dinophyceae;unassigned;unassigned;unassigned;unassigned,Eukaryota,unknown,Dinophyceae,unassigned,unassigned,unassigned,unassigned,2196,1663,830,981,2369,2096,64,102,2718,2738,1371,1425,658,438,679,392,595,722,762,516,758,851,1574,1267,1982,1250,1734,3212,3216,596,266,2786,2053,677,705,1929,1695,94,101,1513,1523,842,536,153,88,2954,4062,1402,837
Eukaryota;unknown;unknown;unknown;unknown;unknown;Acantharian sp. 6201,Eukaryota,unknown,unknown,unknown,unknown,unknown,Acantharian sp. 6201,12609,17659,1321,230,1209,1100,17,5,3234,5383,10,10,9286,6421,11,7287,9545,6,16,14085,21976,20,21,329,494,12,15,1236,1625,12,11,3311,2607,17,9,2232,2061,9,8,100,94,7,3,5,15,584,518,48,27
Eukaryota;unknown;Dinophyceae;unknown;unknown;unknown;Dinophyceae sp. CCMP1878,Eukaryota,unknown,Dinophyceae,unknown,unknown,unknown,Dinophyceae sp. CCMP1878,299,314,389,476,703,465,54,110,849,848,1395,1297,745,1168,40382,453,546,9450,17218,513,758,1424,2456,2379,3282,3082,5892,1041,984,7800,3592,2779,2063,1544,1415,1292,1073,123,367,958,436,2696,2212,134,114,1721,2300,350,220
no_hit;no_hit;no_hit;no_hit;no_hit;no_hit;no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,9012,15,18600,13199,1,7,87,35,4,1,208,109,6,10,597,1129,4,3650,905,2,2,247,88,197,1046,1167,809,19,24,4319,2247,9,1696,477,1220,32,648,210,3411,4747,850,494,450,3106,1798,23,26,9724,3687
Eukaryota;unknown;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Akashiwo;Akashiwo sanguinea,Eukaryota,unknown,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Akashiwo,Akashiwo sanguinea,21,45,58,30,5,28,10,0,1,4,22,5,19,7,2,0,7,10,25,1,11,9,0,0,7,8,16,0,7,1490,1482,3,7,23,23,1,13,9,3,0,7,28,2,76,132,72,6,407,248
Eukaryota;unknown;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Cochlodinium;unassigned,Eukaryota,unknown,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Cochlodinium,unassigned,4,4,0,34,3,1,2,1,40,0,59,22,1,1,34,0,0,37,39,4,2,22,25,0,0,41,56,2,0,809,231,2,0,37,64,0,0,3,0,0,0,1,2,1,53,6,114,2621,1560
