query_name,rank,fraction,lineage,query_md5,query_filename,f_weighted_at_rank,bp_match_at_rank
,superkingdom,0.10770844257996853,d__Bacteria,3ec6ca77,1903c114_10m-1_interleaved.fq.gz,0.12655040798951567,6162000
,superkingdom,0.007638524733438209,Eukaryota,3ec6ca77,1903c114_10m-1_interleaved.fq.gz,0.01242430909630083,437000
,superkingdom,0.0018877818563188256,d__Archaea,3ec6ca77,1903c114_10m-1_interleaved.fq.gz,0.0023589733778470777,108000
,superkingdom,0.8827652508302745,unclassified,3ec6ca77,1903c114_10m-1_interleaved.fq.gz,0.8586663095363365,317000
,phylum,0.06560041950707919,d__Bacteria;p__Proteobacteria,3ec6ca77,1903c114_10m-1_interleaved.fq.gz,0.08272860326965573,3753000
,phylum,0.042108023072889356,d__Bacteria;p__Bacteroidota,3ec6ca77,1903c114_10m-1_interleaved.fq.gz,0.043821804719859955,2409000
,phylum,0.005366194721202587,Eukaryota;Viridiplantae:Chlorophyta,3ec6ca77,1903c114_10m-1_interleaved.fq.gz,0.008165529908070826,307000
,phylum,0.0018877818563188256,d__Archaea;p__Thermoplasmatota,3ec6ca77,1903c114_10m-1_interleaved.fq.gz,0.0023589733778470777,108000
,phylum,0.001171123929382975,Eukaryota;Haptophyta:Haptophyta,3ec6ca77,1903c114_10m-1_interleaved.fq.gz,0.0020528616662043105,67000
,phylum,0.0011012060828526481,Eukaryota;Stramenopila:Bacillariophyta,3ec6ca77,1903c114_10m-1_interleaved.fq.gz,0.0022059175220256943,63000
,phylum,0.8827652508302745,unclassified,3ec6ca77,1903c114_10m-1_interleaved.fq.gz,0.8586663095363365,317000
,class,0.042108023072889356,d__Bacteria;p__Bacteroidota;c__Bacteroidia,3ec6ca77,1903c114_10m-1_interleaved.fq.gz,0.043821804719859955,2409000
,class,0.03915399405698304,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,3ec6ca77,1903c114_10m-1_interleaved.fq.gz,0.05013153237609651,2240000
,class,0.02644642545009614,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,3ec6ca77,1903c114_10m-1_interleaved.fq.gz,0.03259707089355922,1513000
,class,0.005366194721202587,Eukaryota;Viridiplantae:Chlorophyta;Prasinophyceae,3ec6ca77,1903c114_10m-1_interleaved.fq.gz,0.008165529908070826,307000
,class,0.0018877818563188256,d__Archaea;p__Thermoplasmatota;c__Poseidoniia,3ec6ca77,1903c114_10m-1_interleaved.fq.gz,0.0023589733778470777,108000
,class,0.001171123929382975,Eukaryota;Haptophyta:Haptophyta;Prymnesiophyceae,3ec6ca77,1903c114_10m-1_interleaved.fq.gz,0.0020528616662043105,67000
,class,0.0011012060828526481,Eukaryota;Stramenopila:Bacillariophyta;Coscinodiscophyceae,3ec6ca77,1903c114_10m-1_interleaved.fq.gz,0.0022059175220256943,63000
,class,0.8827652508302745,unclassified,3ec6ca77,1903c114_10m-1_interleaved.fq.gz,0.8586663095363365,317000
,order,0.042108023072889356,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales,3ec6ca77,1903c114_10m-1_interleaved.fq.gz,0.043821804719859955,2409000
,order,0.03607760880964866,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales,3ec6ca77,1903c114_10m-1_interleaved.fq.gz,0.047248342692061185,2064000
,order,0.01454291207830799,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales,3ec6ca77,1903c114_10m-1_interleaved.fq.gz,0.019363478959602817,832000
,order,0.007271456039153995,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__PS1,3ec6ca77,1903c114_10m-1_interleaved.fq.gz,0.00885619445746482,416000
,order,0.005366194721202587,Eukaryota;Viridiplantae:Chlorophyta;Prasinophyceae;Mamiellales,3ec6ca77,1903c114_10m-1_interleaved.fq.gz,0.008165529908070826,307000
,order,0.004632057332634155,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__SAR86,3ec6ca77,1903c114_10m-1_interleaved.fq.gz,0.004377397476491577,265000
,order,0.0018877818563188256,d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales,3ec6ca77,1903c114_10m-1_interleaved.fq.gz,0.0023589733778470777,108000
,order,0.0015731515469323545,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales,3ec6ca77,1903c114_10m-1_interleaved.fq.gz,0.001664482432057549,90000
,order,0.0015032337004020277,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales,3ec6ca77,1903c114_10m-1_interleaved.fq.gz,0.0012187072519777686,86000
,order,0.001171123929382975,Eukaryota;Haptophyta:Haptophyta;Prymnesiophyceae;Isochrysidales,3ec6ca77,1903c114_10m-1_interleaved.fq.gz,0.0020528616662043105,67000
,order,0.0011012060828526481,Eukaryota;Stramenopila:Bacillariophyta;Coscinodiscophyceae;Cymatosirales,3ec6ca77,1903c114_10m-1_interleaved.fq.gz,0.0022059175220256943,63000
,order,0.8827652508302745,unclassified,3ec6ca77,1903c114_10m-1_interleaved.fq.gz,0.8586663095363365,317000
,family,0.03607760880964866,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae,3ec6ca77,1903c114_10m-1_interleaved.fq.gz,0.047248342692061185,2064000
,family,0.030991085474567387,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae,3ec6ca77,1903c114_10m-1_interleaved.fq.gz,0.02870945215569607,1773000
,family,0.01111693759832197,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Schleiferiaceae,3ec6ca77,1903c114_10m-1_interleaved.fq.gz,0.015112352564163883,636000
