query_name,rank,fraction,lineage,query_md5,query_filename,f_weighted_at_rank,bp_match_at_rank
,superkingdom,0.081883771019056,d__Bacteria,15616737,1903c119_100m-3_interleaved.fq.gz,0.1280927465757963,59346000
,superkingdom,0.0165517089128938,Eukaryota,15616737,1903c119_100m-3_interleaved.fq.gz,0.022483745028794213,11996000
,superkingdom,0.01221095564180645,d__Archaea,15616737,1903c119_100m-3_interleaved.fq.gz,0.020664395602336842,8850000
,superkingdom,0.8893535644262438,unclassified,15616737,1903c119_100m-3_interleaved.fq.gz,0.8287591127930727,2634000
,phylum,0.05116735356166672,d__Bacteria;p__Proteobacteria,15616737,1903c119_100m-3_interleaved.fq.gz,0.08400474751669562,37084000
,phylum,0.012480010596625912,Eukaryota;Viridiplantae:Chlorophyta,15616737,1903c119_100m-3_interleaved.fq.gz,0.016082368928953428,9045000
,phylum,0.010955365852648951,d__Archaea;p__Thermoplasmatota,15616737,1903c119_100m-3_interleaved.fq.gz,0.019397026522464833,7940000
,phylum,0.009450037874659022,d__Bacteria;p__Bacteroidota,15616737,1903c119_100m-3_interleaved.fq.gz,0.01242944556679292,6849000
,phylum,0.007279661239115345,d__Bacteria;p__Actinobacteriota,15616737,1903c119_100m-3_interleaved.fq.gz,0.018173718727329684,5276000
,phylum,0.005771573723127275,d__Bacteria;p__Verrucomicrobiota,15616737,1903c119_100m-3_interleaved.fq.gz,0.005856681477503244,4183000
,phylum,0.0036370710815595256,d__Bacteria;p__Planctomycetota,15616737,1903c119_100m-3_interleaved.fq.gz,0.0032310452342863404,2636000
,phylum,0.002542914265293705,d__Bacteria;p__SAR324,15616737,1903c119_100m-3_interleaved.fq.gz,0.002606901523722492,1843000
,phylum,0.0018419916137640236,Eukaryota;Haptophyta:Haptophyta,15616737,1903c119_100m-3_interleaved.fq.gz,0.0024528604967684344,1335000
,phylum,0.0017467875528279055,Eukaryota;Stramenopila:Bacillariophyta,15616737,1903c119_100m-3_interleaved.fq.gz,0.0029590448623674653,1266000
,phylum,0.0012555897891574994,d__Archaea;p__Thermoproteota,15616737,1903c119_100m-3_interleaved.fq.gz,0.001267369079872007,910000
