query_name,rank,fraction,lineage,query_md5,query_filename,f_weighted_at_rank,bp_match_at_rank
,superkingdom,0.11180288144336081,d__Bacteria,5cf7101e,1903c119_11m-1_interleaved.fq.gz,0.14169214136594097,9320000
,superkingdom,0.006921701994937681,Eukaryota,5cf7101e,1903c119_11m-1_interleaved.fq.gz,0.010557709513868179,577000
,superkingdom,0.005326231691078561,d__Archaea,5cf7101e,1903c119_11m-1_interleaved.fq.gz,0.007029152997315837,444000
,superkingdom,0.8759491848706229,unclassified,5cf7101e,1903c119_11m-1_interleaved.fq.gz,0.840720996122875,370000
,phylum,0.0828205035928072,d__Bacteria;p__Proteobacteria,5cf7101e,1903c119_11m-1_interleaved.fq.gz,0.1118438711601551,6904000
,phylum,0.028010700447451454,d__Bacteria;p__Bacteroidota,5cf7101e,1903c119_11m-1_interleaved.fq.gz,0.0286143006263048,2335000
,phylum,0.005326231691078561,d__Archaea;p__Thermoplasmatota,5cf7101e,1903c119_11m-1_interleaved.fq.gz,0.007029152997315837,444000
,phylum,0.004402538357265388,Eukaryota;Viridiplantae:Chlorophyta,5cf7101e,1903c119_11m-1_interleaved.fq.gz,0.0061754399045630785,367000
,phylum,0.0013075658881251426,Eukaryota;Stramenopila:Bacillariophyta,5cf7101e,1903c119_11m-1_interleaved.fq.gz,0.0024735311661198927,109000
,phylum,0.0012115977495471503,Eukaryota;Haptophyta:Haptophyta,5cf7101e,1903c119_11m-1_interleaved.fq.gz,0.0019087384431852074,101000
,phylum,0.00097167740310217,d__Bacteria;p__Verrucomicrobiota,5cf7101e,1903c119_11m-1_interleaved.fq.gz,0.0012339695794810618,81000
,phylum,0.8759491848706229,unclassified,5cf7101e,1903c119_11m-1_interleaved.fq.gz,0.840720996122875,370000
,class,0.050395268770768095,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,5cf7101e,1903c119_11m-1_interleaved.fq.gz,0.0725674768863704,4201000
,class,0.03242523482203908,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,5cf7101e,1903c119_11m-1_interleaved.fq.gz,0.039276394273784675,2703000
,class,0.028010700447451454,d__Bacteria;p__Bacteroidota;c__Bacteroidia,5cf7101e,1903c119_11m-1_interleaved.fq.gz,0.0286143006263048,2335000
