query_name,rank,fraction,lineage,query_md5,query_filename,f_weighted_at_rank,bp_match_at_rank
,superkingdom,0.07309306825096223,d__Bacteria,137398d7,1903c122_28m-2_interleaved.fq.gz,0.1062066806827995,42765000
,superkingdom,0.03639527172538269,Eukaryota,137398d7,1903c122_28m-2_interleaved.fq.gz,0.048950486424014644,21294000
,superkingdom,0.018171998167759402,d__Archaea,137398d7,1903c122_28m-2_interleaved.fq.gz,0.06438483149449112,10632000
,superkingdom,0.8723396618558956,unclassified,137398d7,1903c122_28m-2_interleaved.fq.gz,0.7804580013986947,1597000
,phylum,0.05361696600099815,d__Bacteria;p__Proteobacteria,137398d7,1903c122_28m-2_interleaved.fq.gz,0.08492474080916361,31370000
,phylum,0.023735377967990485,Eukaryota;Viridiplantae:Chlorophyta,137398d7,1903c122_28m-2_interleaved.fq.gz,0.03657510213864589,13887000
,phylum,0.018171998167759402,d__Archaea;p__Thermoplasmatota,137398d7,1903c122_28m-2_interleaved.fq.gz,0.06438483149449112,10632000
,phylum,0.008525388154701267,d__Bacteria;p__Bacteroidota,137398d7,1903c122_28m-2_interleaved.fq.gz,0.009706044265734496,4988000
,phylum,0.007234957509793599,Eukaryota;Stramenopila:Ochrophyta,137398d7,1903c122_28m-2_interleaved.fq.gz,0.006869254872174838,4233000
,phylum,0.005245472383075018,d__Bacteria;p__Cyanobacteria,137398d7,1903c122_28m-2_interleaved.fq.gz,0.007172414849804478,3069000
,phylum,0.0049190190676083115,Eukaryota;Haptophyta:Haptophyta,137398d7,1903c122_28m-2_interleaved.fq.gz,0.005132925253007247,2878000
,phylum,0.0027671618729874408,d__Bacteria;p__Verrucomicrobiota,137398d7,1903c122_28m-2_interleaved.fq.gz,0.002075058908251971,1619000
,phylum,0.0015331341569300397,d__Bacteria;p__Actinobacteriota,137398d7,1903c122_28m-2_interleaved.fq.gz,0.001392675348497169,897000
,phylum,0.0012972673635561875,d__Bacteria;p__Planctomycetota,137398d7,1903c122_28m-2_interleaved.fq.gz,0.000872816181081723,759000
,phylum,0.00034183593242587286,Eukaryota;Ochrophyta,137398d7,1903c122_28m-2_interleaved.fq.gz,0.00024898518018318745,200000
,phylum,0.00016408124756441897,Eukaryota;Stramenopila:Bacillariophyta,137398d7,1903c122_28m-2_interleaved.fq.gz,0.00012421898000348033,96000
,phylum,0.00010767831871414996,d__Bacteria;p__SAR324,137398d7,1903c122_28m-2_interleaved.fq.gz,6.293032026608033e-05,63000
,phylum,0.8723396618558957,unclassified,137398d7,1903c122_28m-2_interleaved.fq.gz,0.7804580013986948,1597000
,class,0.02819120934716174,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,137398d7,1903c122_28m-2_interleaved.fq.gz,0.04427941499974281,16494000
,class,0.025425756653836423,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,137398d7,1903c122_28m-2_interleaved.fq.gz,0.04064532580942073,14876000
,class,0.023643082266235498,Eukaryota;Viridiplantae:Chlorophyta;Prasinophyceae,137398d7,1903c122_28m-2_interleaved.fq.gz,0.036488094130625835,13833000
,class,0.018171998167759402,d__Archaea;p__Thermoplasmatota;c__Poseidoniia,137398d7,1903c122_28m-2_interleaved.fq.gz,0.06438483149449112,10632000
,class,0.008525388154701267,d__Bacteria;p__Bacteroidota;c__Bacteroidia,137398d7,1903c122_28m-2_interleaved.fq.gz,0.009706044265734496,4988000
,class,0.0064350614279170566,Eukaryota;Stramenopila:Ochrophyta;Pelagophyceae,137398d7,1903c122_28m-2_interleaved.fq.gz,0.006183587991362677,3765000
,class,0.005245472383075018,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia,137398d7,1903c122_28m-2_interleaved.fq.gz,0.007172414849804478,3069000
,class,0.0049190190676083115,Eukaryota;Haptophyta:Haptophyta;Prymnesiophyceae,137398d7,1903c122_28m-2_interleaved.fq.gz,0.005132925253007247,2878000
,class,0.0027671618729874408,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae,137398d7,1903c122_28m-2_interleaved.fq.gz,0.002075058908251971,1619000
,class,0.0015331341569300397,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia,137398d7,1903c122_28m-2_interleaved.fq.gz,0.001392675348497169,897000
,class,0.001191298224504167,d__Bacteria;p__Planctomycetota;c__Planctomycetia,137398d7,1903c122_28m-2_interleaved.fq.gz,0.0007994886774673338,697000
,class,0.0007998960818765425,Eukaryota;Stramenopila:Ochrophyta;Dictyochophyceae,137398d7,1903c122_28m-2_interleaved.fq.gz,0.0006856668808121623,468000
,class,0.00034183593242587286,Eukaryota;Ochrophyta;Bolidophyceae,137398d7,1903c122_28m-2_interleaved.fq.gz,0.00024898518018318745,200000
,class,0.00016408124756441897,Eukaryota;Stramenopila:Bacillariophyta;Coscinodiscophyceae,137398d7,1903c122_28m-2_interleaved.fq.gz,0.00012421898000348033,96000
,class,0.00010767831871414996,d__Bacteria;p__SAR324;c__SAR324,137398d7,1903c122_28m-2_interleaved.fq.gz,6.293032026608033e-05,63000
,class,0.00010596913905202059,d__Bacteria;p__Planctomycetota;c__Phycisphaerae,137398d7,1903c122_28m-2_interleaved.fq.gz,7.332750361438927e-05,62000
,class,9.229570175498567e-05,Eukaryota;Viridiplantae:Chlorophyta;Trebouxiophyceae,137398d7,1903c122_28m-2_interleaved.fq.gz,8.70080080200589e-05,54000
,class,0.8723396618558956,unclassified,137398d7,1903c122_28m-2_interleaved.fq.gz,0.7804580013986948,1597000
,order,0.025805194538829145,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales,137398d7,1903c122_28m-2_interleaved.fq.gz,0.04116190165577881,15098000
,order,0.02203132584484751,Eukaryota;Viridiplantae:Chlorophyta;Prasinophyceae;Mamiellales,137398d7,1903c122_28m-2_interleaved.fq.gz,0.03526286815605407,12890000
,order,0.018394191523836218,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales,137398d7,1903c122_28m-2_interleaved.fq.gz,0.028249147157355353,10762000
,order,0.018171998167759402,d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales,137398d7,1903c122_28m-2_interleaved.fq.gz,0.06438483149449112,10632000
,order,0.007651997347353164,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales,137398d7,1903c122_28m-2_interleaved.fq.gz,0.00893227493654982,4477000
,order,0.0064350614279170566,Eukaryota;Stramenopila:Ochrophyta;Pelagophyceae;Pelagomonadales,137398d7,1903c122_28m-2_interleaved.fq.gz,0.006183587991362677,3765000
,order,0.00575309874272744,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Puniceispirillales,137398d7,1903c122_28m-2_interleaved.fq.gz,0.010928534139425133,3366000
,order,0.005245472383075018,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__PCC-6307,137398d7,1903c122_28m-2_interleaved.fq.gz,0.007172414849804478,3069000
,order,0.0025586419542076586,Eukaryota;Haptophyta:Haptophyta;Prymnesiophyceae;Phaeocystales,137398d7,1903c122_28m-2_interleaved.fq.gz,0.00308303847286171,1497000
,order,0.0021450204759723528,Eukaryota;Haptophyta:Haptophyta;Prymnesiophyceae;Isochrysidales,137398d7,1903c122_28m-2_interleaved.fq.gz,0.0018780596448103282,1255000
,order,0.0016117564213879907,Eukaryota;Viridiplantae:Chlorophyta;Prasinophyceae;Pseudoscourfieldiales,137398d7,1903c122_28m-2_interleaved.fq.gz,0.0012252259745717728,943000
,order,0.0014835679467282883,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales,137398d7,1903c122_28m-2_interleaved.fq.gz,0.0010566821602939229,868000
,order,0.0013861447059869145,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales,137398d7,1903c122_28m-2_interleaved.fq.gz,0.0012049788280513816,811000
,order,0.0012835939262591527,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales,137398d7,1903c122_28m-2_interleaved.fq.gz,0.0010183767479580478,751000
,order,0.0012408644347059186,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA4575,137398d7,1903c122_28m-2_interleaved.fq.gz,0.002150575292571267,726000
,order,0.001191298224504167,d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales,137398d7,1903c122_28m-2_interleaved.fq.gz,0.0007994886774673338,697000
,order,0.0008733908073481052,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales,137398d7,1903c122_28m-2_interleaved.fq.gz,0.0007737693291846747,511000
,order,0.0007998960818765425,Eukaryota;Stramenopila:Ochrophyta;Dictyochophyceae;Florenciellales,137398d7,1903c122_28m-2_interleaved.fq.gz,0.0006856668808121623,468000
,order,0.0007178554580943331,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Parvibaculales,137398d7,1903c122_28m-2_interleaved.fq.gz,0.0009839018768557604,420000
,order,0.0005759935461375958,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__PS1,137398d7,1903c122_28m-2_interleaved.fq.gz,0.0004979703603663749,337000
,order,0.00034183593242587286,Eukaryota;Ochrophyta;Bolidophyceae;Bolidomonodales,137398d7,1903c122_28m-2_interleaved.fq.gz,0.00024898518018318745,200000
,order,0.0002700503866164396,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales,137398d7,1903c122_28m-2_interleaved.fq.gz,0.00024132409771601243,158000
,order,0.0002649228476300515,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA7985,137398d7,1903c122_28m-2_interleaved.fq.gz,0.00018386597921219995,155000
,order,0.0002153566374282999,Eukaryota;Haptophyta:Haptophyta;Prymnesiophyceae;Prymnesiales,137398d7,1903c122_28m-2_interleaved.fq.gz,0.00017182713533521067,126000
,order,0.00018800976283423008,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__SAR86,137398d7,1903c122_28m-2_interleaved.fq.gz,0.00016197717216312853,110000
,order,0.00016408124756441897,Eukaryota;Stramenopila:Bacillariophyta;Coscinodiscophyceae;Cymatosirales,137398d7,1903c122_28m-2_interleaved.fq.gz,0.00012421898000348033,96000
,order,0.00015211698992951343,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales,137398d7,1903c122_28m-2_interleaved.fq.gz,0.00020247146520391065,89000
,order,0.00014698945094312533,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Actinomarinales,137398d7,1903c122_28m-2_interleaved.fq.gz,0.00018769652044578743,86000
,order,0.0001435710916188666,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales,137398d7,1903c122_28m-2_interleaved.fq.gz,9.740519136836783e-05,84000
,order,0.00011109667803840868,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Arenicellales,137398d7,1903c122_28m-2_interleaved.fq.gz,6.566642114721426e-05,65000
,order,0.00010767831871414996,d__Bacteria;p__SAR324;c__SAR324;o__SAR324,137398d7,1903c122_28m-2_interleaved.fq.gz,6.293032026608033e-05,63000
,order,0.00010596913905202059,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales,137398d7,1903c122_28m-2_interleaved.fq.gz,7.332750361438927e-05,62000
