file	num_seqs	avg_len
zr2760_1	6841963	132.2
zr2760_10	22296775	142.2
zr2760_12	85337382	142
zr2760_13	21703522	143.8
zr2760_16	23240766	142.6
zr2760_17	19758460	143.8
zr2760_18	17302650	143.3
zr2760_20	14304957	142.6
zr2760_21	19217972	144.3
zr2760_22	51271264	144.7
zr2760_23	12359720	143.8
zr2760_24	16919712	142.7
zr2760_25	17046076	143.8
zr2760_26	16846790	141.6
zr2760_27	20282217	142.1
zr2760_28	17034537	142.6
zr2760_29	19733486	142.6
zr2760_30	24914926	142.2
zr2760_31	18310171	146.9
zr2760_32	11322743	146.3
zr2760_33	10369769	148.3
zr2760_34	25728116	148.1
zr2760_35	30644362	145
zr2760_36	15062026	147.4
zr2760_37	33471120	143.9
zr2760_8	8187717	132.2
zr2760_80	14263741	145.7
zr2760_81	9988344	147
zr2760_82	11418012	146.8
zr2760_38	11785769	143.5
zr2760_39	16877908	139.2
zr2760_40	13414881	135.7
zr2760_41	15775508	135.7
zr2760_42	10269328	144
zr2760_43	23910468	128.8
zr2760_44	10833740	145.5
zr2760_45	26945979	135.2
zr2760_46	8346098	144.6
zr2760_47	8054405	143.6
zr2760_48	9139036	144
zr2760_49	8686435	139.1
zr2760_50	11519791	138.1
zr2760_51	9802855	145.4
zr2760_52	19915978	136.9
zr2760_53	8416740	139.9
zr2760_54	6027026	139.2
zr2760_55	14345623	140.6
zr2760_56	15221784	139.9
zr2760_57	20972117	132.4
zr2760_58	14036881	144.5
zr2760_59	13534386	139.4
zr2760_60	15793594	138.4
zr2760_61	21179501	140.1
zr2760_62	16603999	143.8
zr2760_63	11234990	144
zr2760_64	7314822	141.7
zr2760_65	9739846	138.3
zr2760_66	9400527	141.9
zr2760_67	11841582	143.4
zr2760_68	12569325	145.4
zr2760_69	9749139	143.3
zr2760_70	9512111	140.3
zr2760_71	11134956	141.6
zr2760_72	12471897	146.9
zr2760_73	14530521	140.7
zr2760_74	13464194	144
zr2760_75	10156599	142.9
zr2760_76	7895089	139.2
zr2760_77	12065558	143.1
zr2760_78	13438644	144.8
zr2760_79	8796761	140.3
