Sequence type,Avg num reads,Avg % euk bps/reads,Avg num euk reads,Total reads,Avg num prok reads
COI,72862.96428571429,0.993480402177008,72368.91964285714,1.0,494.04464285714494
18S,62214.72767857143,0.9999369335150307,62212.64732142857,1.0,2.080357142855064
Metagenomes,42116990.333333336,0.10848123278114398,4568903.032391524,1.0,37548087.30094181
