file,num_seqs,avg_len
D0052A_S1,"86,807,006",141.8
D0053A_S2,"99,387,898",142
D0057A_S3,"84,192,452",142.1
D0058A_S4,"132,014,202",142.4
D0063A_S5,"115,373,992",141.7
D0064A_S6,"85,644,472",142.7
D0068A_S7,"81,934,556",141
D0069A_S8,"100,481,660",140.2
D0073A_S9,"86,177,838",141.7
D0074A_S10,"87,249,490",141.7
D0078A_S11,"98,415,096",141.4
D0079A_S12,"70,273,280",141.1
D0085A_S13,"96,494,520",140.6
D0086A_S14,"86,073,104",141.8
D0089A_S15,"84,088,226",141.1
D0090A_S16,"90,693,530",142.1
D0095A_S17,"120,897,136",142.4
D0096A_S18,"94,436,572",142.9
D0100A_S19,"70,128,744",139
D0101A_S20,"96,897,606",140.6
D0105A_S21,"101,070,950",140.6
D0107A_S22,"93,012,106",141.5
D0110A_S23,"131,088,994",141.6
D0111A_S24,"87,775,370",141.9
D0116A_S25,"89,028,300",141.8
D0117A_S26,"87,347,724",142.6
D0121A_S27,"82,536,646",141.7
D0122A_S28,"63,956,694",140.5
D0127A_S29,"92,573,232",141.8
D0128A_S30,"98,580,082",141.9
D0132A_S31,"76,838,168",140.9
D0133A_S32,"71,381,674",140.3
D0137A_S33,"90,409,018",142.4
D0138A_S34,"76,353,402",142.5
D0142A_S35,"112,577,094",141.3
D0143A_S36,"108,552,644",142
D0147A_S37,"87,225,268",142.4
D0148A_S38,"78,143,822",142.2
D0152A_S39,"84,061,700",141.6
D0153A_S40,"80,190,968",140.8
D0158A_S41,"97,578,710",141.8
D0159A_S42,"78,509,866",142.6
D0163A_S43,"85,678,666",141.3
D0164A_S44,"91,213,074",141.2
D0167A_S45,"90,235,570",141.7
D0173A_S46,"58,785,912",139.5
D0174A_S47,"78,301,210",138.8
D0177A_S48,"101,987,524",140.7
D0182A_S49,"105,898,146",140.9
D0187A_S50,"96,126,408",139.5
D0192A_S51,"101,161,566",140.1
D0198A_S52,"109,214,966",142.1
D0203A_S53,"72,936,362",140.9
D0208A_S54,"75,068,512",140.6
D0213A_S55,"94,725,540",141.7
D0270A_S56,"90,200,508",141.8
D0271A_S57,"107,076,630",141.7
D0275A_S58,"112,665,062",141.2
D0276A_S59,"84,103,144",140.5
D1030A_S60,"93,778,130",141.9
D1031A_S61,"81,751,826",140.5
