file                                         format  type     num_seqs         sum_len  min_len  avg_len  max_len
1903c117_100m-1_S219_interleaved.fq.gz       FASTQ   DNA    12,887,104   1,788,248,689       50    138.8      151
1903c117_100m-2_S220_interleaved.fq.gz       FASTQ   DNA    32,846,164   4,126,485,235       50    125.6      151
1903c117_100m-3_S221_interleaved.fq.gz       FASTQ   DNA    12,848,588   1,781,883,308       50    138.7      151
1903c117_50m-1_S51_interleaved.fq.gz         FASTQ   DNA    13,653,220   1,820,216,428       50    133.3      151
1903c117_50m-2_S218_interleaved.fq.gz        FASTQ   DNA    35,745,788   4,944,784,437       50    138.3      151
1903c117_5m-1_S27_interleaved.fq.gz          FASTQ   DNA    17,873,856   2,484,652,752       50      139      151
1903c117_5m-2_S217_interleaved.fq.gz         FASTQ   DNA     4,354,600     573,932,568       50    131.8      151
1903c118_100m-1_S209_interleaved.fq.gz       FASTQ   DNA    25,122,034   3,462,993,178       50    137.8      151
1903c118_100m-2_S226_interleaved.fq.gz       FASTQ   DNA    19,810,724   2,722,693,471       50    137.4      151
1903c118_100m-3_S227_interleaved.fq.gz       FASTQ   DNA    29,256,676   4,058,932,263       50    138.7      151
1903c118_23m-1_S224_interleaved.fq.gz        FASTQ   DNA     7,996,796   1,043,960,654       50    130.5      151
1903c118_23m-2_S225_interleaved.fq.gz        FASTQ   DNA    16,453,158   2,085,647,912       50    126.8      151
1903c118_5m-1_S222_interleaved.fq.gz         FASTQ   DNA    11,039,182   1,527,263,145       50    138.3      151
1903c118_5m-2_S223_interleaved.fq.gz         FASTQ   DNA     9,818,716   1,351,214,596       50    137.6      151
1903c119_100m-1_S239_interleaved.fq.gz       FASTQ   DNA    13,948,460   1,919,903,928       50    137.6      151
1903c119_100m-2_S240_interleaved.fq.gz       FASTQ   DNA    18,044,364   2,474,851,686       50    137.2      151
1903c119_100m-3_S241_interleaved.fq.gz       FASTQ   DNA    26,820,146   3,736,182,204       50    139.3      151
1903c119_11m-1_S230_interleaved.fq.gz        FASTQ   DNA     5,244,576     703,466,028       50    134.1      151
1903c119_11m-2_S238_interleaved.fq.gz        FASTQ   DNA    16,310,022   2,249,064,118       50    137.9      151
1903c119_5m-2_S237_interleaved.fq.gz         FASTQ   DNA    22,527,006   3,038,045,849       50    134.9      151
1903c122_100m-1_S246_interleaved.fq.gz       FASTQ   DNA    16,747,472   2,307,663,454       50    137.8      151
1903c122_100m-2_NOAA1163b_interleaved.fq.gz  FASTQ   DNA    28,322,188   3,931,932,701       50    138.8      151
1903c122_100m-3_S231_interleaved.fq.gz       FASTQ   DNA    23,354,938   3,237,202,732       50    138.6      151
1903c122_28m-1_NOAA1163b_interleaved.fq.gz   FASTQ   DNA    22,909,354   3,209,255,227       50    140.1      151
1903c122_28m-2_S245_interleaved.fq.gz        FASTQ   DNA    16,728,768   2,348,214,005       50    140.4      151
1903c122_5m-1_S242_interleaved.fq.gz         FASTQ   DNA    17,884,012   2,501,023,957       50    139.8      151
1903c122_5m-2_NOAA1163b_interleaved.fq.gz    FASTQ   DNA    28,571,244   3,986,001,836       50    139.5      151
1903c123_10m-1_S250_interleaved.fq.gz        FASTQ   DNA    22,371,884   3,134,326,178       50    140.1      151
1903c123_10m-2_S251_interleaved.fq.gz        FASTQ   DNA    26,604,632   3,695,947,400       50    138.9      151
1903c123_5m-1_S248_interleaved.fq.gz         FASTQ   DNA    16,021,272   2,222,293,623       50    138.7      151
1903c123_5m-2_S249_interleaved.fq.gz         FASTQ   DNA    27,717,852   3,874,054,857       50    139.8      151
1903c123_70m-1_S1_interleaved.fq.gz          FASTQ   DNA    31,789,848   4,332,819,366       50    136.3      151
1903c123_70m-2_S2_interleaved.fq.gz          FASTQ   DNA    26,183,692   3,679,623,937       50    140.5      151
1903c123_70m-3_S232_interleaved.fq.gz        FASTQ   DNA    28,916,426   4,033,622,254       50    139.5      151
1903c124_100m-2_S4_interleaved.fq.gz         FASTQ   DNA    21,812,854   2,990,268,287       50    137.1      151
1903c124_100m-3_S29_interleaved.fq.gz        FASTQ   DNA    18,205,892   2,507,960,872       50    137.8      151
1903c124_15m-1_S234_interleaved.fq.gz        FASTQ   DNA    15,258,794   2,099,291,310       50    137.6      151
1903c124_15m-2_S3_interleaved.fq.gz          FASTQ   DNA    23,575,198   3,271,903,136       50    138.8      151
1903c124_5m-1_S233_interleaved.fq.gz         FASTQ   DNA    26,704,194   3,690,333,289       50    138.2      151
1903c124_5m-2_S28_interleaved.fq.gz          FASTQ   DNA    31,109,304   4,357,177,780       50    140.1      151
1903c126_100m-1_NOAA1163b_interleaved.fq.gz  FASTQ   DNA    23,871,758   3,302,886,329       50    138.4      151
1903c126_100m-2_S9_interleaved.fq.gz         FASTQ   DNA    33,073,072   4,409,525,988       50    133.3      151
1903c126_100m-3_S33_interleaved.fq.gz        FASTQ   DNA    23,010,622   3,134,616,276       50    136.2      151
1903c126_45m-1_S7_interleaved.fq.gz          FASTQ   DNA    15,691,320   2,198,851,101       50    140.1      151
1903c126_45m-2_S8_interleaved.fq.gz          FASTQ   DNA    17,175,984   2,337,814,880       50    136.1      151
1903c126_5m-1_S6_interleaved.fq.gz           FASTQ   DNA    24,427,800   3,409,006,831       50    139.6      151
1903c126_5m-2_NOAA1163b_interleaved.fq.gz    FASTQ   DNA    30,062,846   4,182,825,968       50    139.1      151
1903c127_100m-1_S12_interleaved.fq.gz        FASTQ   DNA    13,310,222   1,834,715,197       50    137.8      151
1903c127_100m-2_NOAA1163b_interleaved.fq.gz  FASTQ   DNA    23,225,344   3,260,401,508       50    140.4      151
1903c127_100m-3_S13_interleaved.fq.gz        FASTQ   DNA    13,563,944   1,885,152,513       50      139      151
1903c127_5m-1_S34_interleaved.fq.gz          FASTQ   DNA    13,450,752   1,885,117,917       50    140.1      151
1903c127_5m-2_S73_interleaved.fq.gz          FASTQ   DNA    13,622,826   1,837,331,476       50    134.9      151
1903c127_7m-1_NOAA1163b_interleaved.fq.gz    FASTQ   DNA    20,738,190   2,861,009,312       50      138      151
1903c127_7m-2_NOAA1163b_interleaved.fq.gz    FASTQ   DNA    25,277,452   3,507,011,881       50    138.7      151
1903c129_100m-1_S35_interleaved.fq.gz        FASTQ   DNA    14,396,546   1,969,044,901       50    136.8      151
1903c129_100m-2_S16_interleaved.fq.gz        FASTQ   DNA    20,877,244   2,852,912,544       50    136.7      151
1903c129_100m-3_S17_interleaved.fq.gz        FASTQ   DNA    32,134,040   4,393,625,485       50    136.7      151
1903c129_26m-1_S75_interleaved.fq.gz         FASTQ   DNA    12,565,772   1,677,921,911       50    133.5      151
1903c129_26m-2_S15_interleaved.fq.gz         FASTQ   DNA    20,162,134   2,807,038,812       50    139.2      151
1903c129_5m-1_S61_interleaved.fq.gz          FASTQ   DNA    46,066,006   6,005,575,351       50    130.4      151
1903c129_5m-2_S14_interleaved.fq.gz          FASTQ   DNA    32,643,478   4,621,515,729       50    141.6      151
1903c134_12m-1_S72_interleaved.fq.gz         FASTQ   DNA    13,361,632   1,763,345,034       50      132      151
1903c144_13m-1_S82_interleaved.fq.gz         FASTQ   DNA     2,670,176     355,015,946       50      133      151
1903c144_13m-2_NOAA1163b_interleaved.fq.gz   FASTQ   DNA    26,469,198   3,684,621,590       50    139.2      151
1903c144_5m-1_NOAA1163b_interleaved.fq.gz    FASTQ   DNA    24,244,704   3,410,759,375       50    140.7      151
1903c144_5m-2_NOAA1163b_interleaved.fq.gz    FASTQ   DNA    28,394,280   3,992,442,254       50    140.6      151
1903c144_60m-1_S84_interleaved.fq.gz         FASTQ   DNA    17,670,206   2,312,503,814       50    130.9      151
1903c144_60m-2_S85_interleaved.fq.gz         FASTQ   DNA    19,918,552   2,526,293,528       50    126.8      151
1903c144_60m-3_NOAA1163b_interleaved.fq.gz   FASTQ   DNA    25,298,906   3,536,884,075       50    139.8      151
Las19c107_10m-1_NOAA1163b_interleaved.fq.gz  FASTQ   DNA    23,955,266   3,386,115,985       50    141.4      151
Las19c107_10m-2_S19_interleaved.fq.gz        FASTQ   DNA    23,523,944   3,276,780,355       50    139.3      151
Las19c107_5m-1_NOAA1163b_interleaved.fq.gz   FASTQ   DNA    26,379,164   3,664,082,416       50    138.9      151
Las19c107_5m-2_NOAA1163b_interleaved.fq.gz   FASTQ   DNA    32,238,274   4,525,577,607       50    140.4      151
Las19c107_75m-1_NOAA1163b_interleaved.fq.gz  FASTQ   DNA    27,892,036   3,881,059,719       50    139.1      151
Las19c107_75m-2_S18_interleaved.fq.gz        FASTQ   DNA    13,899,646   1,895,944,351       50    136.4      151
Las19c107_75m-3_NOAA1163b_interleaved.fq.gz  FASTQ   DNA    17,821,180   2,458,310,278       50    137.9      151
Las19c135_13m-1_S65_interleaved.fq.gz        FASTQ   DNA    13,617,982   1,769,966,441       50      130      151
Las19c135_13m-3_S66_interleaved.fq.gz        FASTQ   DNA     1,936,014     254,333,724       50    131.4      151
Las19c135_5m-1_S63_interleaved.fq.gz         FASTQ   DNA    14,778,430   1,928,517,235       50    130.5      151
Las19c135_5m-2_NOAA1163b_interleaved.fq.gz   FASTQ   DNA    37,279,214   5,135,436,594       50    137.8      151
Las19c135_70m-1_NOAA1163b_interleaved.fq.gz  FASTQ   DNA    36,197,240   5,100,691,278       50    140.9      151
Las19c135_70m-2_S68_interleaved.fq.gz        FASTQ   DNA    16,403,438   2,171,709,802       50    132.4      151
Las19c135_70m-3_S69_interleaved.fq.gz        FASTQ   DNA    17,449,540   2,130,991,517       50    122.1      151
Las19c138_100m-1_S79_interleaved.fq.gz       FASTQ   DNA    14,254,732   1,890,888,599       50    132.6      151
Las19c138_100m-2_S80_interleaved.fq.gz       FASTQ   DNA    13,714,534   1,774,264,363       50    129.4      151
Las19c138_100m-3_S81_interleaved.fq.gz       FASTQ   DNA       437,128      57,319,084       50    131.1      151
Las19c138_12m-1_S62_interleaved.fq.gz        FASTQ   DNA    19,553,256   2,139,649,003       50    109.4      151
Las19c138_27m-1_S78_interleaved.fq.gz        FASTQ   DNA   223,363,352  30,061,511,910       50    134.6      151
Las19c138_5m-1_NOAA1163b_interleaved.fq.gz   FASTQ   DNA    19,559,164   2,749,997,931       50    140.6      151
Las19c138_5m-2_S77_interleaved.fq.gz         FASTQ   DNA    13,839,100   1,892,252,833       50    136.7      151
