query_name,rank,fraction,lineage,query_md5,query_filename,f_weighted_at_rank,bp_match_at_rank
,superkingdom,0.08472701750405881,d__Bacteria,c86a33f2,1903c118_5m-1_interleaved.fq.gz,0.09714805365397727,11951000
,superkingdom,0.0343771490149093,Eukaryota,c86a33f2,1903c118_5m-1_interleaved.fq.gz,0.05958016520574936,4849000
,superkingdom,0.019262263120954533,d__Archaea,c86a33f2,1903c118_5m-1_interleaved.fq.gz,0.025602681014811262,2717000
,superkingdom,0.8616335703600774,unclassified,c86a33f2,1903c118_5m-1_interleaved.fq.gz,0.8176691001254621,988000
,phylum,0.055964779196472254,d__Bacteria;p__Proteobacteria,c86a33f2,1903c118_5m-1_interleaved.fq.gz,0.06549961687759448,7894000
,phylum,0.03219357262872821,Eukaryota;Viridiplantae:Chlorophyta,c86a33f2,1903c118_5m-1_interleaved.fq.gz,0.05664654221503692,4541000
,phylum,0.019262263120954533,d__Archaea;p__Thermoplasmatota,c86a33f2,1903c118_5m-1_interleaved.fq.gz,0.025602681014811262,2717000
,phylum,0.01649734496962135,d__Bacteria;p__Bacteroidota,c86a33f2,1903c118_5m-1_interleaved.fq.gz,0.016619092126203047,2327000
,phylum,0.0075149057446491745,d__Bacteria;p__Verrucomicrobiota,c86a33f2,1903c118_5m-1_interleaved.fq.gz,0.008793290726753732,1060000
,phylum,0.002878350690875061,d__Bacteria;p__Actinobacteriota,c86a33f2,1903c118_5m-1_interleaved.fq.gz,0.004286760805314876,406000
,phylum,0.0015738764861435064,Eukaryota;Stramenopila:Ochrophyta,c86a33f2,1903c118_5m-1_interleaved.fq.gz,0.0021025420803125606,222000
,phylum,0.001261937002403352,d__Bacteria;p__Cyanobacteria,c86a33f2,1903c118_5m-1_interleaved.fq.gz,0.0015333316492788039,178000
,phylum,0.0006096999000375745,d__Bacteria;p__Marinisomatota,c86a33f2,1903c118_5m-1_interleaved.fq.gz,0.0004159614688323608,86000
,phylum,0.0006096999000375745,Eukaryota;Haptophyta:Haptophyta,c86a33f2,1903c118_5m-1_interleaved.fq.gz,0.0008310809103998787,86000
,phylum,0.8616335703600775,unclassified,c86a33f2,1903c118_5m-1_interleaved.fq.gz,0.8176691001254621,988000
,class,0.03219357262872821,Eukaryota;Viridiplantae:Chlorophyta;Prasinophyceae,c86a33f2,1903c118_5m-1_interleaved.fq.gz,0.05664654221503692,4541000
,class,0.028634626700601903,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,c86a33f2,1903c118_5m-1_interleaved.fq.gz,0.034617424912218656,4039000
,class,0.027330152495870348,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,c86a33f2,1903c118_5m-1_interleaved.fq.gz,0.030882191965375835,3855000
,class,0.019262263120954533,d__Archaea;p__Thermoplasmatota;c__Poseidoniia,c86a33f2,1903c118_5m-1_interleaved.fq.gz,0.025602681014811262,2717000
,class,0.01649734496962135,d__Bacteria;p__Bacteroidota;c__Bacteroidia,c86a33f2,1903c118_5m-1_interleaved.fq.gz,0.016619092126203047,2327000
,class,0.0075149057446491745,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae,c86a33f2,1903c118_5m-1_interleaved.fq.gz,0.008793290726753732,1060000
,class,0.002878350690875061,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia,c86a33f2,1903c118_5m-1_interleaved.fq.gz,0.004286760805314876,406000
,class,0.0015738764861435064,Eukaryota;Stramenopila:Ochrophyta;Pelagophyceae,c86a33f2,1903c118_5m-1_interleaved.fq.gz,0.0021025420803125606,222000
,class,0.001261937002403352,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia,c86a33f2,1903c118_5m-1_interleaved.fq.gz,0.0015333316492788039,178000
,class,0.0006096999000375745,d__Bacteria;p__Marinisomatota;c__Marinisomatia,c86a33f2,1903c118_5m-1_interleaved.fq.gz,0.0004159614688323608,86000
,class,0.0006096999000375745,Eukaryota;Haptophyta:Haptophyta;Prymnesiophyceae,c86a33f2,1903c118_5m-1_interleaved.fq.gz,0.0008310809103998787,86000
,class,0.8616335703600775,unclassified,c86a33f2,1903c118_5m-1_interleaved.fq.gz,0.8176691001254621,988000
,order,0.03219357262872821,Eukaryota;Viridiplantae:Chlorophyta;Prasinophyceae;Mamiellales,c86a33f2,1903c118_5m-1_interleaved.fq.gz,0.05664654221503692,4541000
,order,0.019262263120954533,d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales,c86a33f2,1903c118_5m-1_interleaved.fq.gz,0.025602681014811262,2717000
,order,0.016951075127788845,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales,c86a33f2,1903c118_5m-1_interleaved.fq.gz,0.020170763129310126,2391000
,order,0.0167242100487051,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales,c86a33f2,1903c118_5m-1_interleaved.fq.gz,0.01975311760594808,2359000
,order,0.01587346600214104,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales,c86a33f2,1903c118_5m-1_interleaved.fq.gz,0.016116401849091872,2239000
,order,0.006387669882951799,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Puniceispirillales,c86a33f2,1903c118_5m-1_interleaved.fq.gz,0.008918752789215315,901000
,order,0.0062175210736389866,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__SAR86,c86a33f2,1903c118_5m-1_interleaved.fq.gz,0.0064111955945133515,877000
,order,0.005650358375929614,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales,c86a33f2,1903c118_5m-1_interleaved.fq.gz,0.006741270282331743,797000
,order,0.003991407485129703,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__PS1,c86a33f2,1903c118_5m-1_interleaved.fq.gz,0.004319599868643747,563000
,order,0.0032753645792716213,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales,c86a33f2,1903c118_5m-1_interleaved.fq.gz,0.003570195602933623,462000
,order,0.002878350690875061,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Actinomarinales,c86a33f2,1903c118_5m-1_interleaved.fq.gz,0.004286760805314876,406000
,order,0.0018645473687195593,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales,c86a33f2,1903c118_5m-1_interleaved.fq.gz,0.0020520204444219904,263000
,order,0.0015738764861435064,Eukaryota;Stramenopila:Ochrophyta;Pelagophyceae;Pelagomonadales,c86a33f2,1903c118_5m-1_interleaved.fq.gz,0.0021025420803125606,222000
,order,0.001261937002403352,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__PCC-6307,c86a33f2,1903c118_5m-1_interleaved.fq.gz,0.0015333316492788039,178000
,order,0.0010067137884341346,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales_B,c86a33f2,1903c118_5m-1_interleaved.fq.gz,0.0007687708928015089,142000
,order,0.0006238789674803088,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales,c86a33f2,1903c118_5m-1_interleaved.fq.gz,0.0005026902771111728,88000
,order,0.0006096999000375745,d__Bacteria;p__Marinisomatota;c__Marinisomatia;o__Marinisomatales,c86a33f2,1903c118_5m-1_interleaved.fq.gz,0.0004159614688323608,86000
,order,0.0006096999000375745,Eukaryota;Haptophyta:Haptophyta;Prymnesiophyceae;Isochrysidales,c86a33f2,1903c118_5m-1_interleaved.fq.gz,0.0008310809103998787,86000
,order,0.0005671626977093717,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Parvibaculales,c86a33f2,1903c118_5m-1_interleaved.fq.gz,0.0007367738567374811,80000
,order,0.00044664062444613016,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales,c86a33f2,1903c118_5m-1_interleaved.fq.gz,0.00045216864122060274,63000
,order,0.00039701388839656014,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Woeseiales,c86a33f2,1903c118_5m-1_interleaved.fq.gz,0.00039827889627066127,56000
,order,0.8616335703600775,unclassified,c86a33f2,1903c118_5m-1_interleaved.fq.gz,0.8176691001254621,988000
,family,0.030513353136764194,Eukaryota;Viridiplantae:Chlorophyta;Prasinophyceae;Mamiellales;Mamiellaceae,c86a33f2,1903c118_5m-1_interleaved.fq.gz,0.054527159589427505,4304000
,family,0.01751114829177685,d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Poseidoniaceae,c86a33f2,1903c118_5m-1_interleaved.fq.gz,0.023492560689115115,2470000
,family,0.016951075127788845,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae,c86a33f2,1903c118_5m-1_interleaved.fq.gz,0.020170763129310126,2391000
,family,0.012052207326324147,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae,c86a33f2,1903c118_5m-1_interleaved.fq.gz,0.011385892675204822,1700000
,family,0.0062175210736389866,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__SAR86;f__D2472,c86a33f2,1903c118_5m-1_interleaved.fq.gz,0.0064111955945133515,877000
,family,0.005820507185242427,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Puniceispirillales;f__Puniceispirillaceae,c86a33f2,1903c118_5m-1_interleaved.fq.gz,0.008488476856880625,821000
,family,0.005650358375929614,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae,c86a33f2,1903c118_5m-1_interleaved.fq.gz,0.006741270282331743,797000
,family,0.004998121273563838,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Halieaceae,c86a33f2,1903c118_5m-1_interleaved.fq.gz,0.006202372832832327,705000
,family,0.0044238690421330995,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089,c86a33f2,1903c118_5m-1_interleaved.fq.gz,0.005281195005094266,624000
,family,0.003991407485129703,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__PS1;f__Thioglobaceae,c86a33f2,1903c118_5m-1_interleaved.fq.gz,0.004319599868643747,563000
